crossover_rate_subtree,crossover_rate_node_level,mutation_rate,tournament_size,experiment,generation,test_score,population
0.5,0.1,0.4,8,0,0,-1391.9509075312722,40
0.5,0.1,0.4,8,0,1,-1391.9509075312722,40
0.5,0.1,0.4,8,0,2,-1391.9509075312722,40
0.5,0.1,0.4,8,0,3,-1486.2776564855149,40
0.5,0.1,0.4,8,0,4,-1489.3673487748306,40
0.5,0.1,0.4,8,0,5,-1391.9509075312722,40
0.5,0.1,0.4,8,0,6,-1391.9509075312722,40
0.5,0.1,0.4,8,0,7,-1398.2239841618457,40
0.5,0.1,0.4,8,0,8,-1391.9509075312722,40
0.5,0.1,0.4,8,0,9,-1398.2239841618457,40
0.5,0.1,0.4,8,0,10,-1168.4748644378453,40
0.5,0.1,0.4,8,0,11,-1168.4748644378453,40
0.5,0.1,0.4,8,0,12,-1742.810534274685,40
0.5,0.1,0.4,8,0,13,-905.0822822337531,40
0.5,0.1,0.4,8,0,14,-420.43084657417575,40
0.5,0.1,0.4,8,0,15,-458.40155142717094,40
0.5,0.1,0.4,8,0,16,-420.43084657417575,40
0.5,0.1,0.4,8,0,17,-420.43084657417575,40
0.5,0.1,0.4,8,0,18,-472.785314846381,40
0.5,0.1,0.4,8,0,19,-317.77835238243034,40
0.5,0.1,0.4,8,0,20,-332.74409823318814,40
0.5,0.1,0.4,8,0,21,-326.09415885984765,40
0.5,0.1,0.4,8,0,22,-443.8690086353216,40
0.5,0.1,0.4,8,0,23,-326.09415885984765,40
0.5,0.1,0.4,8,0,24,-307.5359198939434,40
0.5,0.1,0.4,8,0,25,-335.6040287759243,40
0.5,0.1,0.4,8,1,0,-1411.905500221856,40
0.5,0.1,0.4,8,1,1,-1391.9509075312722,40
0.5,0.1,0.4,8,1,2,-1391.9509075312722,40
0.5,0.1,0.4,8,1,3,-1507.9249626394258,40
0.5,0.1,0.4,8,1,4,-1398.3388876996678,40
0.5,0.1,0.4,8,1,5,-1525.1874224025,40
0.5,0.1,0.4,8,1,6,-912.7974439620839,40
0.5,0.1,0.4,8,1,7,-1426.267446744248,40
0.5,0.1,0.4,8,1,8,-912.3683745383232,40
0.5,0.1,0.4,8,1,9,-896.1474991585842,40
0.5,0.1,0.4,8,1,10,-890.8646219555401,40
0.5,0.1,0.4,8,1,11,-1246.7690076170466,40
0.5,0.1,0.4,8,1,12,-1018.2857368093696,40
0.5,0.1,0.4,8,1,13,-890.8646219555401,40
0.5,0.1,0.4,8,1,14,-896.5787795857602,40
0.5,0.1,0.4,8,1,15,-793.6870762712413,40
0.5,0.1,0.4,8,1,16,-1436.4739614602174,40
0.5,0.1,0.4,8,1,17,-878.1076214217153,40
0.5,0.1,0.4,8,1,18,-878.1076214217153,40
0.5,0.1,0.4,8,1,19,-1137.4194667926577,40
0.5,0.1,0.4,8,1,20,-763.8031736375618,40
0.5,0.1,0.4,8,1,21,-801.4319839661711,40
0.5,0.1,0.4,8,1,22,-763.8031736375618,40
0.5,0.1,0.4,8,1,23,-763.8031736375618,40
0.5,0.1,0.4,8,1,24,-1193.0784036410223,40
0.5,0.1,0.4,8,1,25,-1106.6837725113046,40
0.5,0.1,0.4,8,2,0,-1391.9509075312722,40
0.5,0.1,0.4,8,2,1,-1660.1201535487685,40
0.5,0.1,0.4,8,2,2,-2581.0965460830607,40
0.5,0.1,0.4,8,2,3,-1391.9509075312722,40
0.5,0.1,0.4,8,2,4,-1070.1292657810136,40
0.5,0.1,0.4,8,2,5,-1391.9509075312722,40
0.5,0.1,0.4,8,2,6,-671.579693797988,40
0.5,0.1,0.4,8,2,7,-671.579693797988,40
0.5,0.1,0.4,8,2,8,-849.7563456388337,40
0.5,0.1,0.4,8,2,9,-849.7563456388337,40
0.5,0.1,0.4,8,2,10,-849.7563456388337,40
